id,people,seconds
1,0,0.3
2,74,6.6
4,67,13.6
5,14,5.2
6,12,1.1
7,9,1.2
8,27,2.0
9,17,2.9
10,3,1.3
11,3,1.2
12,4,2.0
13,1,1.3
14,12,2.0
15,2,1.2
16,92504,30.4
17,623,77.8
19,18,1.2
20,50,0.0
21,34,0.0
33,28,1.1
35,17,1.1
36,34,1.9
37,291,6.6
39,0,0.2
40,213,8.6
42,93,2.0
46,112,1.2
50,35,3.4
51,213,10.5
55,19,4.9
57,27,1.3
58,17,1.3
59,28,1.5
60,17,1.3
61,15,1.9
62,16,1.5
64,5,1.1
66,57,1.7
67,77,4.2
70,1,0.0
74,38,2.0
77,12,1.0
78,39,1.3
82,283,13.6
86,40,1.1
87,103,5.5
88,36,1.0
90,41,1.1
91,3,0.0
92,33,1.8
93,20,0.0
98,2,0.9
99,4,1.0
100,2,0.9
102,2,1.0
104,2,0.9
105,2,1.0
106,0,1.0
107,2,1.0
108,6,1.0
109,6,0.9
110,7,1.0
111,2,1.0
112,6,1.1
113,2,1.1
116,499,50.5
117,142,9.8
118,32,3.3
119,50,1.3
122,4,2.3
124,18,2.5
125,638,10.3
127,20,1.2
129,24,3.3
132,40,2.9
133,22,5.9
134,55,4.2
136,6,1.0
138,2,0.9
139,136,7.0
140,4,1.2
141,112,9.9
142,111,5.6
143,10,2.5
144,19,2.4
147,54,1.6
154,31,2.0
156,41,1.2
157,7,1.0
164,23,3.3
167,5,0.0
172,29,1.1
173,30,5.0
176,251,9.7
177,75,11.0
178,38,5.5
179,9,3.3
180,15,1.0
181,5,1.1
182,4,2.0
183,16,1.1
185,10,1.0
186,9,1.0
188,45,2.0
189,34,2.5
190,43,4.5
195,8,1.3
196,8,1.1
197,2,1.1
198,25,2.2
199,5,0.8
200,134,1.1
202,44,2.2
203,148,4.7
204,141,5.1
205,71,3.9
206,508,14.6
207,8,1.0
208,8,1.1
209,4,1.0
210,4,1.0
212,1057,37.7
213,17,1.3
215,3,1.1
216,55,1.3
218,1,0.0
220,30,1.2
222,34,1.3
223,36,2.1
224,53,2.0
226,3,0.7
236,32,29.7
244,145,1.6
251,20,2.0
252,134,2.7
253,54,2.0
254,17,2.1
255,33,2.1
258,2,0.0
259,38,1.7
263,6,2.4
265,88,9.2
270,6,1.0
277,9,0.9
279,21,1.1
280,2,1.1
284,7,1.0
293,8,0.9
294,10,1.0
296,245,7.0
298,1231,20.2
301,0,0.2
302,67,10.6
304,0,0.2
305,60,13.8
306,151,6.4
310,9,0.9
311,0,0.9
312,9,1.7
313,0,0.2
320,2,0.0
324,9,1.2
325,20,1.1
326,42,2.2
327,175,4.3
328,2,0.9
329,48,1.0
330,57799,9.5
336,2,0.8
337,0,0.8
338,19,0.9
339,0,0.8
340,3,1.1
341,0,1.0
342,1,0.9
343,1,0.0
345,1,0.9
346,0,0.9
347,0,0.9
348,0,0.8
349,0,1.0
350,0,0.9
351,0,0.8
352,0,0.8
353,0,0.8
354,0,0.9
355,0,1.0
356,0,1.2
357,1,1.1
358,4,0.9
359,1,0.8
360,144,6.7
361,16,1.1
363,68,2.1
364,61,3.0
365,36,2.4
366,33,1.8
369,0,0.2
370,0,1.0
371,25,0.9
372,11,1.6
373,14,1.6
374,6,0.8
375,7,0.8
376,5,0.8
377,6,0.8
378,0,0.8
379,0,0.8
380,0,0.8
381,1,0.9
382,1,1.0
383,2,1.0
384,2,1.6
385,1,1.0
386,1,0.9
387,1,0.8
389,0,0.8
390,110,1.0
391,240,2.6
394,0,0.1
395,1,0.0
397,197,10.2
398,56,5.3
399,24,2.6
401,18,2.4
402,16,1.6
403,1,2.3
404,39,2.4
405,29,2.0
406,12,0.8
407,0,0.8
411,6,0.8
412,51,0.8
413,14,0.8
414,2,0.8
415,2,0.8
416,14,0.8
417,4,1.2
